Speaker,utterance,rc
2,Nope. No. ,1
2,Yes. No. ,1
2,Yeah. ,1
2,Movement. ,5
2,Distance traveling over time. ,5
2,Time. ,5
2,50,3
2,Hour. ,5
2,Faster. ,4
2,Slower.   ,4
2,Taking…,5
2,"Oh, oh, like you total it up… ",5
2,The speeds. ,5
2,Stop. Go. ,4
2,Go. ,3
2,Faster. ,3
2,Odometer. ,1
2,Speedometer. Odometer. ,1
2,A speedometer tells you how fast you’re going. ,1
2,How far you traveled? ,1
2,Some did what? ,5
2,Yeah. ,3
2,No. ,3
2,Less. ,4
2,I think less. ,4
2,It’s greater. ,4
2,Erupt.,4
2,Speed is how far you move in a specific time? ,5
2,"Ran, yeah.",0
2,Miles per hour. ,5
2,50,3
2,Divide by two.,3
2,Average of distance over time. ,5
2,You add and divide. ,5
2,Go half the speed you regularly go? ,5
2,Like if... ,5
2,The speed limit goes faster or slower.,3
2,You have to get to the highway. ,3
2,To keep from exceeding the speed limit. ,5
2,Speed. How far you went. The distance. ,0
2,Average. Speed. ,0
2,When you start. ,3
2,The speedometer. ,0
2,And then you divide by the number. ,5
2,Balance.,5
2,I broke them. ,5
2,Soil. ,5
2,Bare rock.,5
2,"[inaudible] bare rock, or virgin maple. ",5
2,Yes. ,3
2,True.,5
2,Time. ,5
2,Speed that [inaudible] ,5
2,Staying the same? ,5
2,Speed? ,5
2,Velocity?,5
2,Velocity is the speed of an object in the direction it’s headed.,5
2,Mine’s got a [inaudible] ,3
2,Acceleration means speeding up. ,5
2,It changes velocity. ,5
2,The speed.,5
2,Or the direction. ,5
2,TS. ,3
2,Miles per second. ,5
2,Meters. ,5
2,Distance. ,3
2,One. Four. ,3
2,Oh.,3
2,That was mine. ,3
2,Uh unh. It can’t be.,3
2,Mines ain’t a word. ,3
2,"Um, um… ",3
2,Yeah. ,3
2,Yes. ,4
2,Because you’ve got to [inaudible] back. ,4
2,Match the line. ,3
2,"Some, when you’re like that, you got to go up or down. ",4
2,Yeah. ,4
2,Speed? ,5
2,That’s all I got.,5
2,The same speed? ,5
2,Speed? ,5
2,"Velocity, wants to be in the direction of motion and acceleration is change in velocity? ",5
2,Acceleration is the speed – is the change in velocity? ,5
2,One? ,3
2,Yeah. ,3
2,Three.,3
2,Three? ,3
2,Just stay there. ,4
2,Zero. ,4
2,Like four seconds. ,3
2,Walk back. ,3
2,Velocity. ,4
2,Speed. ,5
2,Direction. ,5
2,In the middle. ,4
2,Where it changed? ,4
2,Alright. ,4
2,[inaudible] ,4
2,He stopped. ,3
2,He walked forward. ,4
2,Velocity.,4
2,Direction.,4
2,Sped? Ran to school? ,0
2,Time and distance. ,5
2,50 each hour. ,3
2,No. ,3
2,No. ,3
2,"It changed, so you add all the speeds up and divide by the number. ",4
2,No. ,4
2,Speeds. ,5
2,Bare rock. ,5
2,No.,5
2,No. ,5
2,Minor species. ,5
2,Yes. No. ,5
2,Yeah. I put shrubs. ,5
2,No. ,5
2,Virgin maple forest. ,5
2,Primary. ,5
2,Primary. Secondary. ,5
2,Both. ,5
2,Yes. ,5
2,Climax. ,5
2,Yes. ,5
2,Secondary. ,5
2,True. ,5
2,True. ,5
2,Pressure. ,5
2,No. ,5
2,Erupts. ,5
2,Negative ,5
2,Time. ,3
2,Distance. No. ,5
2,Speed. ,3
2,Time. ,5
2,Miles per hour? Second?,5
2,Speed. Speed. ,5
2,That’s mine. That one in the corner is messed up; that’s mines. ,3
2,There it goes. Mines ain’t no word. ,3
2,Mine is a word that you can barely see. ,3
2,Mines is mines. That’s mine right there. ,3
2,Be still? ,3
2,Move closer. ,3
2,Move back. ,3
2,Move back. ,4
2,Move as fast as you can then [inaudible]. ,4
2,The direction. The direction of the motion. ,5
2,Run. ,3
2,No. Yes. You change like motion. ,3
2,Velocity. Motion. Direction. ,3
2,No. ,3
2,[inaudible]. Walk a lot.,3
2,Backwards. ,3
2,Three. One. ,3
2,Three. ,3
2,"No. If he stops he changes speed, yes. Oh, yeah. Yeah.",4
1,Ok. So you’re going to be talking about - we’re going to be talking about speed. So what is speed?,5
1,"You all should probably be able to tell me that without even having to look at your book because you speed to school every day, right? ",1
1,You don’t? Don’t you all ride the school bus? ,1
1,Is speed involved in getting to school? ,1
1,"Yeah, what is speed? ",5
1,"It’s movement, ok, ",5
1,and what two things do we use to calculate speed? ,5
1,Distance traveled over…,5
1,Time. ,5
1,"It’s how far you’re going, and how long did it take you to go that far, ok? ",5
1,"So if I’m driving to Houston to see my sister and I drive 50 - let’s say I drive 100 miles in two hours, ok? ",1
1,"I can look at that and I can break it down into how many miles was I going per hour, probably. ",3
1,"If I went - if I made it 100 miles in two hours, think about it.",3
1,"If I drove 200 - If I drove 100 miles and I did it in two hours, how many miles did I go each hour? ",3
1,"I did 50, right? ",3
1,"I threw you a curve in there; I said two hours. So we normally know speed as miles per what, guys? ",5
1,Hour. Miles per hour. ,5
1,"We’re just trying to calculate how much distance can you travel in a certain amount of time, ok? ",4
1,"So of course, the farther you go in the less time it faster or slower? ",4
1,"Faster, right?  It would go faster. ",4
1,Or the less distance you cover in the same amount you’re probably going… ,4
1,"Slower, so speed is all about that distance and time relationship. ",2
1,"And we’re going to talk about average speed vs. instantaneous speed, ok? ",5
1,"If I did drive to Houston and I took an average speed, what does average mean? ",5
1,You all just did this on your test. ,5
1,What does average mean? ,5
1,"If I take an average of anything, what am I doing? ",5
1,Raise your hand. Jason? ,5
1,"Yeah, I’m totaling up what? A list of what? ",5
1,Correct.,5
1,"I’m dividing it by how many different speeds I went, ok?  ",3
1,"Because I started biking, and I can bike around White Rock Lake  ",3
1,and sometimes I’m going 15 miles an hour; ,3
1,"it depends if I’m going down a hill or not, ",3
1,but at the end of my trip I look at my average speed and it might tell me I went an average of 10 MPH. ,3
1,So that means it takes all my speeds and it’s going to average it all together. ,3
1,"So on the average I did about 10 MPH even though at some points I may have gone faster or slower, right? ",3
1,Are you going to go the same speed as you drive to school?   ,4
1,What do you do between? ,4
1,"Stop, at a stop light, and then what do you do? ",3
1,"You go, and as you start leaving the stop light what do you do? ",3
1,As you leave you get a little what?,3
1,You go a little faster. ,3
1,So the average speed is just talking about all your speeds averaged together. ,2
